text,published_on,id,code,username,like_count,reply_count,image_count,videos,url,repost_count,keyword,emotion,locale_context,lang_detect
"Currently crying 😭 I posted that I was baking 10–15 loaves a week to give away to folks losing their SNAP benefits in November… it turned into way more. 

And then, @bobsredmill  sent a package. Not just for me, but for everyone in my community that I can help. 

8 bags of flour. A whole bag of yeast. From the only company that saw a random bread lady on Threads and said: “We got you.” 

And the wildest part?",1761847041,3754967602742408652_76501782801,DQcUyPYj7XM,chelseapstevison,53211,0,,,https://www.threads.net/@chelseapstevison/post/DQcUyPYj7XM,0,crying,sad,ru-RU,en
"@yungblud IM SO PROUD IM CRYING 😭 

#yungblud #yungbludarmy #blackheartsclub #ozzyosbourne #grammys",1762533798,3760728520206167293_63244251780,DQwyqn3kaz9,yungbludarmy,4386,0,,"['https://instagram.fala4-2.fna.fbcdn.net/o1/v/t2/f2/m86/AQOyU59yXXs71HDdsrVZEvwkw-GSlxt9ghLRgDkqMy164d9IBsMuCSnXzsegmAFiMpU03-nHF0SsKvah0OPdSxBYoaUch9vFynYwzXM.mp4?_nc_cat=108&_nc_oc=AdkpOWDwLYa_y-6jjNwKooi_4r45XRHj2ZobsFl_-78gw4kVmYJmD_aGf6Cc1ucgAOw&_nc_sid=5e9851&_nc_ht=instagram.fala4-2.fna.fbcdn.net&_nc_ohc=sE3L6jQRjlMQ7kNvwFyenYs&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy43MjAuZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjo4NTE0NDA5NTQwNTIxOTMsImFzc2V0X2FnZV9kYXlzIjoxLCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6MTUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=3d75a0dc7de409db&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC85NTRFNEM1MzQ2NjBDRDAxRjMwNUM0Q0FDOEQ0Rjk5N192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRjNwY2lJWkJnUVEtOU1FQUt2Y2Y1UVBTNTVjYnN0VEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmwrnoubGYgwMVAigCQzMsF0AvZmZmZmZmGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XmnQEA&_nc_gid=V47V8gY50Krx9XksXQ-16g&_nc_zt=28&oh=00_AfgbZfzTN38i-aasTCyxyc4pPXeWzm9U4rKLW-Vz_DEf8w&oe=69118185', 'https://instagram.fala4-2.fna.fbcdn.net/o1/v/t2/f2/m86/AQOyU59yXXs71HDdsrVZEvwkw-GSlxt9ghLRgDkqMy164d9IBsMuCSnXzsegmAFiMpU03-nHF0SsKvah0OPdSxBYoaUch9vFynYwzXM.mp4?_nc_cat=108&_nc_oc=AdkpOWDwLYa_y-6jjNwKooi_4r45XRHj2ZobsFl_-78gw4kVmYJmD_aGf6Cc1ucgAOw&_nc_sid=5e9851&_nc_ht=instagram.fala4-2.fna.fbcdn.net&_nc_ohc=sE3L6jQRjlMQ7kNvwFyenYs&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy43MjAuZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjo4NTE0NDA5NTQwNTIxOTMsImFzc2V0X2FnZV9kYXlzIjoxLCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6MTUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=3d75a0dc7de409db&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC85NTRFNEM1MzQ2NjBDRDAxRjMwNUM0Q0FDOEQ0Rjk5N192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRjNwY2lJWkJnUVEtOU1FQUt2Y2Y1UVBTNTVjYnN0VEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmwrnoubGYgwMVAigCQzMsF0AvZmZmZmZmGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XmnQEA&_nc_gid=V47V8gY50Krx9XksXQ-16g&_nc_zt=28&oh=00_AfgbZfzTN38i-aasTCyxyc4pPXeWzm9U4rKLW-Vz_DEf8w&oe=69118185', 'https://instagram.fala4-2.fna.fbcdn.net/o1/v/t2/f2/m86/AQOyU59yXXs71HDdsrVZEvwkw-GSlxt9ghLRgDkqMy164d9IBsMuCSnXzsegmAFiMpU03-nHF0SsKvah0OPdSxBYoaUch9vFynYwzXM.mp4?_nc_cat=108&_nc_oc=AdkpOWDwLYa_y-6jjNwKooi_4r45XRHj2ZobsFl_-78gw4kVmYJmD_aGf6Cc1ucgAOw&_nc_sid=5e9851&_nc_ht=instagram.fala4-2.fna.fbcdn.net&_nc_ohc=sE3L6jQRjlMQ7kNvwFyenYs&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy43MjAuZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjo4NTE0NDA5NTQwNTIxOTMsImFzc2V0X2FnZV9kYXlzIjoxLCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6MTUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=3d75a0dc7de409db&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC85NTRFNEM1MzQ2NjBDRDAxRjMwNUM0Q0FDOEQ0Rjk5N192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRjNwY2lJWkJnUVEtOU1FQUt2Y2Y1UVBTNTVjYnN0VEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmwrnoubGYgwMVAigCQzMsF0AvZmZmZmZmGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XmnQEA&_nc_gid=V47V8gY50Krx9XksXQ-16g&_nc_zt=28&oh=00_AfgbZfzTN38i-aasTCyxyc4pPXeWzm9U4rKLW-Vz_DEf8w&oe=69118185']",https://www.threads.net/@yungbludarmy/post/DQwyqn3kaz9,0,crying,sad,ru-RU,en
"Y’all be crying for “real friends in Vegas” then act like meeting up is a marriage proposal 😭😭

I’m not asking for a lifelong commitment—I just wanna vibe, eat snacks, maybe trauma dump a lil, and not get ghosted after making plans 💀

If you’re not flaky, weird, or allergic to replying… let’s be friends 😂
Bonus points if you down for Target strolls, spontaneous drives & vent sessions in the car.

#VegasGirlies #FriendshipNotAuditions #IRLNotJustIG",1751206087,3665704803361005062_63041535883,DLfMxjPxp4G,lovely_dalis11,431,0,,,https://www.threads.net/@lovely_dalis11/post/DLfMxjPxp4G,0,crying,sad,ru-RU,en
"“Why are you crying? It’s just a song.”
The song:",1762606816,3761340608108679921_74312169455,DQy91rJkdLx,xo.mononoke,3332,0,,"['https://instagram.fala4-1.fna.fbcdn.net/o1/v/t16/f2/m84/AQNAqHwjBUilEOOMp2Rx6VN8fs_yvMJlhni2Sb-4xmYXoCHQ0B2DDTnxehsNVIGUudvAL49_I7mihbV_c8a-rA-nUKlVaLKfM2vzCQU.mp4?_nc_cat=102&_nc_oc=AdnSNquknemPS2WGJYlGDtopDQ5gWZi_QZYn5_d043uvUNM0HYoFf_Q9_4YA_ggwK6c&_nc_sid=5e9851&_nc_ht=instagram.fala4-1.fna.fbcdn.net&_nc_ohc=0ttULzyuYlUQ7kNvwELwFzW&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy4xMTc2LmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTMyMTY2MTE3MzEwNTQzOCwiYXNzZXRfYWdlX2RheXMiOjAsInZpX3VzZWNhc2VfaWQiOjEwMTY0LCJkdXJhdGlvbl9zIjoxMTYsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=6f77b3b5c18bfca5&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC8yNDRGNjMxNEREMzEzMDI4NjNCQTk1QTBFREI4MzFCQl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRnR5VUNMMW9lMThMSTBDQU95YnppdU9PejFkYnNwVEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmvIzki-eC2QQVAigCQzMsF0BdLul41P30GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XongEA&_nc_gid=HQpuI6n4i6hHCavPrb70Mw&_nc_zt=28&oh=00_AfhmgNQDRjBhc46YoYy0jzSW77SCtfYUkHGHTo0aKoe6LQ&oe=69117F52', 'https://instagram.fala4-1.fna.fbcdn.net/o1/v/t16/f2/m84/AQNAqHwjBUilEOOMp2Rx6VN8fs_yvMJlhni2Sb-4xmYXoCHQ0B2DDTnxehsNVIGUudvAL49_I7mihbV_c8a-rA-nUKlVaLKfM2vzCQU.mp4?_nc_cat=102&_nc_oc=AdnSNquknemPS2WGJYlGDtopDQ5gWZi_QZYn5_d043uvUNM0HYoFf_Q9_4YA_ggwK6c&_nc_sid=5e9851&_nc_ht=instagram.fala4-1.fna.fbcdn.net&_nc_ohc=0ttULzyuYlUQ7kNvwELwFzW&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy4xMTc2LmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTMyMTY2MTE3MzEwNTQzOCwiYXNzZXRfYWdlX2RheXMiOjAsInZpX3VzZWNhc2VfaWQiOjEwMTY0LCJkdXJhdGlvbl9zIjoxMTYsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=6f77b3b5c18bfca5&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC8yNDRGNjMxNEREMzEzMDI4NjNCQTk1QTBFREI4MzFCQl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRnR5VUNMMW9lMThMSTBDQU95YnppdU9PejFkYnNwVEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmvIzki-eC2QQVAigCQzMsF0BdLul41P30GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XongEA&_nc_gid=HQpuI6n4i6hHCavPrb70Mw&_nc_zt=28&oh=00_AfhmgNQDRjBhc46YoYy0jzSW77SCtfYUkHGHTo0aKoe6LQ&oe=69117F52', 'https://instagram.fala4-1.fna.fbcdn.net/o1/v/t16/f2/m84/AQNAqHwjBUilEOOMp2Rx6VN8fs_yvMJlhni2Sb-4xmYXoCHQ0B2DDTnxehsNVIGUudvAL49_I7mihbV_c8a-rA-nUKlVaLKfM2vzCQU.mp4?_nc_cat=102&_nc_oc=AdnSNquknemPS2WGJYlGDtopDQ5gWZi_QZYn5_d043uvUNM0HYoFf_Q9_4YA_ggwK6c&_nc_sid=5e9851&_nc_ht=instagram.fala4-1.fna.fbcdn.net&_nc_ohc=0ttULzyuYlUQ7kNvwELwFzW&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy4xMTc2LmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTMyMTY2MTE3MzEwNTQzOCwiYXNzZXRfYWdlX2RheXMiOjAsInZpX3VzZWNhc2VfaWQiOjEwMTY0LCJkdXJhdGlvbl9zIjoxMTYsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=6f77b3b5c18bfca5&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC8yNDRGNjMxNEREMzEzMDI4NjNCQTk1QTBFREI4MzFCQl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRnR5VUNMMW9lMThMSTBDQU95YnppdU9PejFkYnNwVEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmvIzki-eC2QQVAigCQzMsF0BdLul41P30GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XongEA&_nc_gid=HQpuI6n4i6hHCavPrb70Mw&_nc_zt=28&oh=00_AfhmgNQDRjBhc46YoYy0jzSW77SCtfYUkHGHTo0aKoe6LQ&oe=69117F52']",https://www.threads.net/@xo.mononoke/post/DQy91rJkdLx,0,crying,sad,ru-RU,en
You unblocked such a vivid memory for me. I remember crying to this song so much 💜,1762607098,3761343418929519056_63531721199,DQy-ek7jBnQ,frosty_matcha_latte,6,0,,,https://www.threads.net/@frosty_matcha_latte/post/DQy-ek7jBnQ,0,crying,sad,ru-RU,en
"It’s over.. 😫🤧

My girls left crying. The emotion of this moment will stay in their minds forever. 
💞💞💞💞💞💞",1762605337,3761327959622924538_63439352054,DQy69nVEbj6,pitty.lima.96,134,0,,"['https://instagram.fala4-1.fna.fbcdn.net/o1/v/t16/f2/m84/AQPnZw28TR6wP-Mx35ydOJDgNkRmfppBs_mXW2SeWjFVpVWUc3lOgHvlZ9lO__dKC_rkHAuN3TElm0Jn-Lko6hrJDQx6B4-5_YOKnjA.mp4?_nc_cat=105&_nc_oc=AdkDPoHMyMQ5WQNSsje9D6zIQb9jGnpQ00mDA5GRJlmfzGbCg7hO-TcwcJKnM68MO9k&_nc_sid=5e9851&_nc_ht=instagram.fala4-1.fna.fbcdn.net&_nc_ohc=BiyUyllQ9RoQ7kNvwFrevLV&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy43MjAuZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjoxMTQ1MzA5MDExMDY3NTM5LCJhc3NldF9hZ2VfZGF5cyI6MCwidmlfdXNlY2FzZV9pZCI6MTAxNjQsImR1cmF0aW9uX3MiOjE1LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=24825c88c787c68a&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9GMDRFMEY0RkJENDgwREQ5QTY5MEE5Nzc0MUQwQUQ4OF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSlYwVUNKcS1GTjRUY2dFQVAwTTNGdGRTVGhKYnNwVEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmpoqajOHpiAQVAigCQzMsF0Atu2RaHKwIGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XongEA&_nc_gid=OZZocatCRRaw1dfNWIAfdA&_nc_zt=28&oh=00_AfjvfV0vZ4msuHwAa9WQSNwyxVd0Z5S-gciQdICGhWPmzg&oe=691182A3', 'https://instagram.fala4-1.fna.fbcdn.net/o1/v/t16/f2/m84/AQPnZw28TR6wP-Mx35ydOJDgNkRmfppBs_mXW2SeWjFVpVWUc3lOgHvlZ9lO__dKC_rkHAuN3TElm0Jn-Lko6hrJDQx6B4-5_YOKnjA.mp4?_nc_cat=105&_nc_oc=AdkDPoHMyMQ5WQNSsje9D6zIQb9jGnpQ00mDA5GRJlmfzGbCg7hO-TcwcJKnM68MO9k&_nc_sid=5e9851&_nc_ht=instagram.fala4-1.fna.fbcdn.net&_nc_ohc=BiyUyllQ9RoQ7kNvwFrevLV&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy43MjAuZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjoxMTQ1MzA5MDExMDY3NTM5LCJhc3NldF9hZ2VfZGF5cyI6MCwidmlfdXNlY2FzZV9pZCI6MTAxNjQsImR1cmF0aW9uX3MiOjE1LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=24825c88c787c68a&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9GMDRFMEY0RkJENDgwREQ5QTY5MEE5Nzc0MUQwQUQ4OF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSlYwVUNKcS1GTjRUY2dFQVAwTTNGdGRTVGhKYnNwVEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmpoqajOHpiAQVAigCQzMsF0Atu2RaHKwIGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XongEA&_nc_gid=OZZocatCRRaw1dfNWIAfdA&_nc_zt=28&oh=00_AfjvfV0vZ4msuHwAa9WQSNwyxVd0Z5S-gciQdICGhWPmzg&oe=691182A3', 'https://instagram.fala4-1.fna.fbcdn.net/o1/v/t16/f2/m84/AQPnZw28TR6wP-Mx35ydOJDgNkRmfppBs_mXW2SeWjFVpVWUc3lOgHvlZ9lO__dKC_rkHAuN3TElm0Jn-Lko6hrJDQx6B4-5_YOKnjA.mp4?_nc_cat=105&_nc_oc=AdkDPoHMyMQ5WQNSsje9D6zIQb9jGnpQ00mDA5GRJlmfzGbCg7hO-TcwcJKnM68MO9k&_nc_sid=5e9851&_nc_ht=instagram.fala4-1.fna.fbcdn.net&_nc_ohc=BiyUyllQ9RoQ7kNvwFrevLV&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy43MjAuZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjoxMTQ1MzA5MDExMDY3NTM5LCJhc3NldF9hZ2VfZGF5cyI6MCwidmlfdXNlY2FzZV9pZCI6MTAxNjQsImR1cmF0aW9uX3MiOjE1LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=24825c88c787c68a&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9GMDRFMEY0RkJENDgwREQ5QTY5MEE5Nzc0MUQwQUQ4OF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSlYwVUNKcS1GTjRUY2dFQVAwTTNGdGRTVGhKYnNwVEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmpoqajOHpiAQVAigCQzMsF0Atu2RaHKwIGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XongEA&_nc_gid=OZZocatCRRaw1dfNWIAfdA&_nc_zt=28&oh=00_AfjvfV0vZ4msuHwAa9WQSNwyxVd0Z5S-gciQdICGhWPmzg&oe=691182A3']",https://www.threads.net/@pitty.lima.96/post/DQy69nVEbj6,0,crying,sad,ru-RU,en
im crying 😂😂😂,1762576447,3761086210887493334_75548606739,DQyD_tRkabW,throwawavey,14,0,,"['https://instagram.fala4-1.fna.fbcdn.net/o1/v/t16/f2/m84/AQPhdqizC58KxiRD_mE8NWmWP6bI_xbuJf3XbnuMFMlVq_OL03g_sg3_ACK_Ltiah2kU4jfwiPjcg9TjM-LsJlLfebUOZmjLS05mJN4.mp4?_nc_cat=102&_nc_oc=AdkMC8EuC2d_gLFaVc_FA3O-bAOdsVUPwrvG_Dkq7rWHlIJJFkpd3velYr-X4azSQJ8&_nc_sid=5e9851&_nc_ht=instagram.fala4-1.fna.fbcdn.net&_nc_ohc=vps4WBrzH-YQ7kNvwFTdgUe&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy43MjAuZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjo4MDU5MjQ2MTU3NDg3NzQsImFzc2V0X2FnZV9kYXlzIjowLCJ2aV91c2VjYXNlX2lkIjoxMDE2NCwiZHVyYXRpb25fcyI6OCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=da8ebe3624b22275&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9FRDQ5NTNFMTVDQUVDRkVENjhDMzc4REQ5OEE2NzdBOF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSUNyYUNLQkVwYkFDZjhPQUFzbm50cVFsM2xIYnNwVEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmzPL_pv6-7gIVAigCQzMsF0AgmZmZmZmaGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XongEA&_nc_gid=ThEZv81g6Rd9f3e_30Y7OA&_nc_zt=28&oh=00_AfjwYy4T48bCbxtI2qANiykxTRjRh18GTFpfHz1Xk5GTqA&oe=69117572', 'https://instagram.fala4-1.fna.fbcdn.net/o1/v/t16/f2/m84/AQPhdqizC58KxiRD_mE8NWmWP6bI_xbuJf3XbnuMFMlVq_OL03g_sg3_ACK_Ltiah2kU4jfwiPjcg9TjM-LsJlLfebUOZmjLS05mJN4.mp4?_nc_cat=102&_nc_oc=AdkMC8EuC2d_gLFaVc_FA3O-bAOdsVUPwrvG_Dkq7rWHlIJJFkpd3velYr-X4azSQJ8&_nc_sid=5e9851&_nc_ht=instagram.fala4-1.fna.fbcdn.net&_nc_ohc=vps4WBrzH-YQ7kNvwFTdgUe&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy43MjAuZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjo4MDU5MjQ2MTU3NDg3NzQsImFzc2V0X2FnZV9kYXlzIjowLCJ2aV91c2VjYXNlX2lkIjoxMDE2NCwiZHVyYXRpb25fcyI6OCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=da8ebe3624b22275&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9FRDQ5NTNFMTVDQUVDRkVENjhDMzc4REQ5OEE2NzdBOF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSUNyYUNLQkVwYkFDZjhPQUFzbm50cVFsM2xIYnNwVEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmzPL_pv6-7gIVAigCQzMsF0AgmZmZmZmaGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XongEA&_nc_gid=ThEZv81g6Rd9f3e_30Y7OA&_nc_zt=28&oh=00_AfjwYy4T48bCbxtI2qANiykxTRjRh18GTFpfHz1Xk5GTqA&oe=69117572', 'https://instagram.fala4-1.fna.fbcdn.net/o1/v/t16/f2/m84/AQPhdqizC58KxiRD_mE8NWmWP6bI_xbuJf3XbnuMFMlVq_OL03g_sg3_ACK_Ltiah2kU4jfwiPjcg9TjM-LsJlLfebUOZmjLS05mJN4.mp4?_nc_cat=102&_nc_oc=AdkMC8EuC2d_gLFaVc_FA3O-bAOdsVUPwrvG_Dkq7rWHlIJJFkpd3velYr-X4azSQJ8&_nc_sid=5e9851&_nc_ht=instagram.fala4-1.fna.fbcdn.net&_nc_ohc=vps4WBrzH-YQ7kNvwFTdgUe&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy43MjAuZGFzaF9iYXNlbGluZV8xX3YxIiwieHB2X2Fzc2V0X2lkIjo4MDU5MjQ2MTU3NDg3NzQsImFzc2V0X2FnZV9kYXlzIjowLCJ2aV91c2VjYXNlX2lkIjoxMDE2NCwiZHVyYXRpb25fcyI6OCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=da8ebe3624b22275&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9FRDQ5NTNFMTVDQUVDRkVENjhDMzc4REQ5OEE2NzdBOF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSUNyYUNLQkVwYkFDZjhPQUFzbm50cVFsM2xIYnNwVEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmzPL_pv6-7gIVAigCQzMsF0AgmZmZmZmaGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqB2XongEA&_nc_gid=ThEZv81g6Rd9f3e_30Y7OA&_nc_zt=28&oh=00_AfjwYy4T48bCbxtI2qANiykxTRjRh18GTFpfHz1Xk5GTqA&oe=69117572']",https://www.threads.net/@throwawavey/post/DQyD_tRkabW,0,crying,sad,ru-RU,en
"To my Staten Island residents crying about Zohran Kwame Mamdani proposing free transportation, how is it the SI ferry and the SIRR has been FREE for decades and you don’t cry about the.  SI Ferry and railway are a socialist program.",1762611192,3761377761077091341_63134260952,DQzGSUjDdwN,yo_naci_nieves,1631,0,,,https://www.threads.net/@yo_naci_nieves/post/DQzGSUjDdwN,0,crying,sad,ru-RU,en
THANK YOU! I want to hear them crying the day the city starts charging fare for the ferry. I’ll ask them then Who is the socialist now?,1762621984,3761468288149663608_68031931838,DQza3qdDq94,mariamonicar2010,4,0,,,https://www.threads.net/@mariamonicar2010/post/DQza3qdDq94,0,crying,sad,ru-RU,en
"ALDI!! Laughing, crying, screaming 🤣🤣🤣🤣🤣🤣🤣🤣🤣",1762580713,3761122085138510611_69369435983,DQyMJvxjrMT,sydneywc26,10978,0,,,https://www.threads.net/@sydneywc26/post/DQyMJvxjrMT,0,crying,sad,ru-RU,tl
